0,0     1,0     209,9     293,5     377,3     461,1     47,2     126,8     209,9     293,5     377,3     461,1
1,0     0,0     210,9     294,5     378,3     462,1     48,1     127,8     210,9     294,5     378,3     462,1
209,9     210,9     0,0     84,0     168,0     252,0     168,0     84,0     0,0     84,0     168,0     252,0
293,5     294,5     84,0     0,0     84,0     168,0     252,0     168,0     84,0     0,0     84,0     168,0
377,3     378,3     168,0     84,0     0,0     84,0     336,0     252,0     168,0     84,0     0,0     84,0
461,1     462,1     252,0     168,0     84,0     0,0     420,0     336,0     252,0     168,0     84,0     0,0
47,2     48,1     168,0     252,0     336,0     420,0     0,0     84,0     168,0     252,0     336,0     420,0
126,8     127,8     84,0     168,0     252,0     336,0     84,0     0,0     84,0     168,0     252,0     336,0
209,9     210,9     0,0     84,0     168,0     252,0     168,0     84,0     0,0     84,0     168,0     252,0
293,5     294,5     84,0     0,0     84,0     168,0     252,0     168,0     84,0     0,0     84,0     168,0
377,3     378,3     168,0     84,0     0,0     84,0     336,0     252,0     168,0     84,0     0,0     84,0
461,1     462,1     252,0     168,0     84,0     0,0     420,0     336,0     252,0     168,0     84,0     0,0
